name,price,socket,form_factor,max_memory,memory_slots
Asus PRIME Z270-A,442.22,LGA1151,ATX,64,4
Asus TUF GAMING X570-PLUS,228.89,AM4,ATX,128,4
Gigabyte B660 DS3H AX DDR4,180.21,LGA1700,ATX,128,4
ASRock Z690 Phantom Gaming-ITX/TB4,245.99,LGA1700,Mini ITX,64,2
Asus ROG CROSSHAIR X670E GENE,646.95,AM5,Micro ATX,64,2
ASRock B760M-HDV/M.2 D4,109.99,LGA1700,Micro ATX,64,2
MSI PRO B660M-A DDR4,179.99,LGA1700,Micro ATX,128,4
Asus TUF GAMING B760-PLUS WIFI,209.99,LGA1700,ATX,128,4
NZXT N5 Z690,239.99,LGA1700,ATX,128,4
ASRock H610M-HDV,92.83,LGA1700,Micro ATX,64,2
Gigabyte X570 AORUS ELITE WIFI,375.99,AM4,ATX,128,4
ASRock B550 Extreme4,164.99,AM4,ATX,128,4
Asus TUF GAMING X670E-PLUS,349.07,AM5,ATX,128,4
MSI X570-A PRO,259.0,AM4,ATX,128,4
Gigabyte Z690 AERO G DDR4,215.95,LGA1700,ATX,128,4
Asus ROG MAXIMUS XI HERO (WI-FI),455.0,LGA1151,ATX,128,4
ASRock A620M-HDV/M.2,85.99,AM5,Micro ATX,64,2
Asus PRIME H770-PLUS D4,154.99,LGA1700,ATX,128,4
MSI B650 GAMING PLUS WIFI,200.98,AM5,ATX,128,4
MSI PRO Z790-A WIFI DDR4,249.99,LGA1700,ATX,128,4
EVGA Z790 DARK K|NGP|N,649.99,LGA1700,EATX,64,2
Gigabyte Z390 UD,235.0,LGA1151,ATX,128,4
ASRock Z790 PG SONIC,249.99,LGA1700,ATX,128,4
Gigabyte Z790 D DDR4,189.99,LGA1700,ATX,128,4
ASRock H310CM-HDV,82.99,LGA1151,Micro ATX,32,2
MSI PRO B760M-A WIFI,169.95,LGA1700,Micro ATX,128,4
ASRock B450 Pro4,187.5,AM4,ATX,64,4
Asus TUF GAMING A520M-PLUS,156.99,AM4,Micro ATX,128,4
Asus ROG Strix X570-F Gaming,449.05,AM4,ATX,128,4
Gigabyte Z790I AORUS ULTRA,329.99,LGA1700,Mini ITX,96,2
Supermicro X11SCL-IF,242.89,LGA1151,Mini ITX,64,2
Asus PROART B650-CREATOR,255.99,AM5,ATX,128,4
Asus Strix B550-XE Gaming WiFi,223.99,AM4,ATX,128,4
Gigabyte X570S AERO G,351.15,AM4,ATX,128,4
Gigabyte B550 AORUS PRO AC,325.0,AM4,ATX,128,4
ASRock Z690 Steel Legend WiFi 6E,184.99,LGA1700,ATX,128,4
MSI PRO Z690-A,365.0,LGA1700,ATX,128,4
MSI Z590-A PRO,109.99,LGA1200,ATX,128,4
ASRock B650E TAICHI,369.99,AM5,EATX,128,4
Asus PRIME Z590-A,239.0,LGA1200,ATX,128,4
ASRock Z790 Pro RS/D4,179.99,LGA1700,ATX,128,4
Asus PRIME B550M-A/CSM,119.99,AM4,Micro ATX,128,4
Asus ROG Crosshair VIII Hero,369.99,AM4,ATX,128,4
Gigabyte Z690 AERO G,219.99,LGA1700,ATX,128,4
ASRock Z690 Extreme WiFi 6E,196.99,LGA1700,ATX,128,4
Gigabyte B550 AORUS MASTER,199.99,AM4,ATX,128,4
Gigabyte B660 GAMING X AX DDR4,349.0,LGA1700,ATX,128,4
Gigabyte GA-H81M-S2PH,144.99,LGA1150,Micro ATX,16,2
ASRock Z790 Taichi Carrara,499.99,LGA1700,EATX,128,4
MSI MPG Z590 GAMING PLUS,162.99,LGA1200,ATX,128,4
Asus PRIME B650M-A AX,179.99,AM5,Micro ATX,128,4
ASRock X570 PG Velocita,199.99,AM4,ATX,128,4
Gigabyte Z690 AORUS MASTER,524.91,LGA1700,EATX,128,4
ASRock B550 Taichi,189.99,AM4,ATX,128,4
Gigabyte Z790 AORUS ELITE AX-W,486.0,LGA1700,ATX,192,4
ASRock B650 LiveMixer,169.99,AM5,ATX,128,4
Asus ROG Crosshair VIII Extreme,1109.43,AM4,EATX,128,4
ASRock Z690M Phantom Gaming 4,129.99,LGA1700,Micro ATX,128,4
ASRock Z790 Taichi,608.06,LGA1700,EATX,128,4
Asus ROG STRIX B550-E GAMING,479.0,AM4,ATX,128,4
Asus ROG STRIX B660-F GAMING WIFI,306.36,LGA1700,ATX,128,4
Gigabyte B550 AORUS ELITE,185.73,AM4,ATX,128,4
MSI MPG Z690 EDGE WIFI,388.43,LGA1700,ATX,128,4
ASRock Z590 Extreme,116.0,LGA1200,ATX,128,4
MSI MPG Z390 GAMING PRO CARBON,428.88,LGA1151,ATX,128,4
Gigabyte B660 DS3H DDR4,203.34,LGA1700,ATX,128,4
ASRock B760 Pro RS/D4,169.99,LGA1700,ATX,128,4
ASRock 970M PRO3,99.99,AM3+/AM3,Micro ATX,64,4
ASRock X399M Taichi,456.89,sTR4,Micro ATX,64,4
Gigabyte X570SI AORUS PRO AX,429.0,AM4,Mini ITX,64,2
Gigabyte H610M H DDR4,110.77,LGA1700,Micro ATX,64,2
NZXT N7-Z69XT-B1,299.73,LGA1700,ATX,128,4
MSI Z270 GAMING PRO CARBON,255.95,LGA1151,ATX,64,4
MSI MPG X570 GAMING PRO CARBON WIFI,324.99,AM4,ATX,128,4
Asus PRIME A520M-E,94.18,AM4,Micro ATX,64,2
MSI MEG Z690 UNIFY,369.99,LGA1700,ATX,128,4
ASRock H470M-HDV,85.58,LGA1200,Micro ATX,64,2
Gigabyte Z790 UD,311.99,LGA1700,ATX,128,4
Asus PRIME H610M-A D4,128.74,LGA1700,Micro ATX,64,2
Asus ROG MAXIMUS XIII HERO,309.99,LGA1200,ATX,128,4
Asus PRIME A320M-A,108.8,AM4,Micro ATX,64,4
Asus PRIME H510M-A,113.78,LGA1200,Micro ATX,64,2
Asus STRIX Z270-E GAMING,645.02,LGA1151,ATX,64,4
Gigabyte Z690 AORUS ULTRA,239.99,LGA1700,ATX,128,4
ASRock Z690 PG Riptide,129.99,LGA1700,ATX,128,4
ASRock A520M Pro4,89.99,AM4,Micro ATX,128,4
Gigabyte Z590 AORUS ULTRA,179.93,LGA1200,ATX,128,4
MSI MEG Z590 UNIFY,149.99,LGA1200,ATX,128,4
MSI Z590 PRO WIFI,282.16,LGA1200,ATX,128,4
Asus ROG Strix X299-E Gaming II,452.3,LGA2066,ATX,256,8
Asus PRIME B760M-A,153.99,LGA1700,Micro ATX,128,4
MSI B450M PRO-M2 MAX,70.54,AM4,Micro ATX,32,2
Gigabyte Z690 AORUS ELITE DDR4,259.99,LGA1700,ATX,128,4
Asus PRIME H670-PLUS D4,185.69,LGA1700,ATX,128,4
Asus TUF B450-PLUS GAMING,194.46,AM4,ATX,64,4
Asus PRIME B660M-K D4,146.65,LGA1700,Micro ATX,64,2
MSI A320M-A PRO MAX,199.99,AM4,Micro ATX,32,2
Gigabyte B550 AORUS ELITE AX,203.89,AM4,ATX,128,4
Asus Prime X299-A II,239.99,LGA2066,ATX,256,8
Asus PRIME H310M-K R2.0,176.26,LGA1151,Micro ATX,32,2
EVGA Z790 CLASSIFIED,529.99,LGA1700,EATX,128,4
Asus TUF Z390-PLUS GAMING (WI-FI),386.0,LGA1151,ATX,128,4
Asus ROG Crosshair VIII Formula,534.99,AM4,ATX,128,4
MSI MEG Z690 ACE,469.99,LGA1700,EATX,128,4
ASRock Fatal1ty X370 Gaming K4,99.99,AM4,ATX,64,4
MSI MEG Z690I UNIFY,399.99,LGA1700,Mini ITX,64,2
Asus B75M-Plus,324.52,LGA1155,Micro ATX,32,4
Asus PRIME Z690M-PLUS D4,222.15,LGA1700,Micro ATX,128,4
Gigabyte Z690 AERO D,299.0,LGA1700,EATX,128,4
MSI MAG Z490 TOMAHAWK,299.0,LGA1200,ATX,128,4
Asus PRIME Z690-P,248.99,LGA1700,ATX,128,4
MSI Z270-A PRO,495.95,LGA1151,ATX,64,4
Asus ProArt B660-CREATOR D4,182.99,LGA1700,ATX,128,4
Supermicro MBD-X10DAL-I-O,636.81,2 x LGA2011-3,ATX,512,8
Asus PRIME B650M-A AX II,199.99,AM5,Micro ATX,128,4
Asus TUF B450M-PLUS GAMING,289.0,AM4,Micro ATX,64,4
MSI MAG B660M MORTAR DDR4,227.71,LGA1700,Micro ATX,128,4
MSI MEG X570S ACE MAX,589.6,AM4,ATX,128,4
Asus MAXIMUS VIII FORMULA,2591.77,LGA1151,ATX,64,4
MSI H510M-A PRO,164.95,LGA1200,Micro ATX,64,2
Gigabyte B760 GAMING X AX DDR4,232.59,LGA1700,ATX,128,4
MSI MEG X570S UNIFY-X MAX,294.99,AM4,ATX,64,2
Supermicro MBD-X10DRI-O,504.98,2 x LGA2011-3 Narrow,EATX,1024,16
Gigabyte Z590 UD AC,239.49,LGA1200,ATX,128,4
Asus PRIME B550M-A (WI-FI),213.46,AM4,Micro ATX,128,4
Asus ROG STRIX Z590-A GAMING WIFI,289.78,LGA1200,ATX,128,4
Asus TUF GAMING Z690-PLUS D4,308.08,LGA1700,ATX,128,4
MSI PRO-B660M-B-DDR4,137.0,LGA1700,Micro ATX,64,2
Asus ProArt B550-CREATOR,226.99,AM4,ATX,128,4
Asus PRIME H610M-E D4-CSM,99.99,LGA1700,Micro ATX,64,2
MSI MAG Z390 TOMAHAWK,357.0,LGA1151,ATX,128,4
Asus TUF GAMING Z790-PLUS D4,354.15,LGA1700,ATX,128,4
Asus ROG STRIX B660-G GAMING WIFI,276.99,LGA1700,Micro ATX,128,4
ASRock H610M-HDV/M.2,114.72,LGA1700,Micro ATX,64,2
Biostar A320MH,221.0,AM4,Micro ATX,32,2
Asus ROG Crosshair VIII Impact,458.68,AM4,Mini DTX,64,2
Asus Z590 WIFI GUNDAM EDITION,179.99,LGA1200,ATX,128,4
ASRock Z690 Extreme,184.99,LGA1700,ATX,128,4
MSI MAG B660M BAZOOKA DDR4,180.0,LGA1700,Micro ATX,128,4
Asus PROART B760-CREATOR D4,195.99,LGA1700,ATX,128,4
Asus TUF GAMING B660M-PLUS WIFI,247.17,LGA1700,Micro ATX,128,4
Asus TUF GAMING B550M-PLUS (WI-FI),299.0,AM4,Micro ATX,128,4
Asus ROG STRIX Z490-I GAMING,199.99,LGA1200,Mini ITX,64,2
Asus TUF GAMING B660M-PLUS D4,214.38,LGA1700,Micro ATX,128,4
MSI MPG Z490 GAMING CARBON WIFI,209.99,LGA1200,ATX,128,4
MSI MAG B660M MORTAR WIFI,243.99,LGA1700,Micro ATX,128,4
Gigabyte X299X DESIGNARE 10G,1249.0,LGA2066,EATX,256,8
Asus PRIME Z490-P,245.0,LGA1200,ATX,128,4
Gigabyte Z790 AORUS ELITE DDR4,317.19,LGA1700,ATX,128,4
MSI MAG X570S TORPEDO MAX,249.56,AM4,ATX,128,4
Asus TUF GAMING B660M-E D4,158.82,LGA1700,Micro ATX,128,4
ASRock B660M Steel Legend,139.99,LGA1700,Micro ATX,128,4
Asus PRIME A620M-A-CSM,129.99,AM5,Micro ATX,128,4
Asus TUF GAMING B550-PLUS (WI-FI),289.0,AM4,ATX,128,4
MSI MAG Z590 TOMAHAWK WIFI,233.33,LGA1200,ATX,128,4
ASRock H570 Steel Legend,105.99,LGA1200,ATX,128,4
Asus PRIME B650M-A-CSM,169.99,AM5,Micro ATX,128,4
Asus PRIME B460M-A,192.75,LGA1200,Micro ATX,128,4
EVGA Z690 DARK K|NGP|N,829.99,LGA1700,EATX,64,2
ASRock X570 Taichi Razer Edition,234.99,AM4,ATX,128,4
ASRock A520M Phantom Gaming 4,96.99,AM4,Micro ATX,128,4
ASRock X570S PG Riptide,184.99,AM4,ATX,128,4
Asus PRIME H610M-A D4-CSM,109.99,LGA1700,Micro ATX,64,2
ASRock Z790 LiveMixer,335.89,LGA1700,ATX,128,4
Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0),259.99,LGA1700,Mini ITX,64,2
Gigabyte X570 AORUS PRO WIFI,430.99,AM4,ATX,128,4
Asus Prime Z370-P,276.87,LGA1151,ATX,64,4
Asus Prime TRX40-Pro,1050.0,sTRX4,ATX,256,8
ASRock Z690 Taichi,312.99,LGA1700,ATX,128,4
Asus Pro WS X299 SAGE II,872.9,LGA2066,SSI CEB,256,8
Asus Pro B550M-C/CSM,125.99,AM4,Micro ATX,128,4
Gigabyte Z590 AORUS ELITE AX,299.0,LGA1200,ATX,128,4
Asus ROG STRIX B560-A GAMING WIFI,270.95,LGA1200,ATX,128,4
ASRock B550 Taichi Razer Edition,199.99,AM4,ATX,128,4
Gigabyte Z590 AORUS PRO AX,149.99,LGA1200,ATX,128,4
Asus ROG MAXIMUS XII HERO (WI-FI),546.01,LGA1200,ATX,128,4
Asus PRIME H510M-A WIFI,134.53,LGA1200,Micro ATX,64,2
Asus TUF GAMING Z490-PLUS (WI-FI),294.0,LGA1200,ATX,128,4
Asus ProArt X570-CREATOR WIFI,465.99,AM4,ATX,128,4
Asus PRIME B760M-A AX,169.22,LGA1700,Micro ATX,128,4
Asus PRIME X370-PRO,360.45,AM4,ATX,64,4
MSI B450 Gaming Plus,199.0,AM4,ATX,64,4
MSI MPG Z590 GAMING FORCE,274.2,LGA1200,ATX,128,4
Asus PRIME B450M-A/CSM,158.36,AM4,Micro ATX,64,4
Asus ProArt Z690-CREATOR WIFI,657.99,LGA1700,ATX,128,4
Gigabyte Z690 AORUS XTREME,881.99,LGA1700,EATX,128,4
Asus PRIME B660M-A AC D4,149.99,LGA1700,Micro ATX,128,4
Asus TUF GAMING B560M-PLUS,158.65,LGA1200,Micro ATX,128,4
Asus PRIME B760M-K D4,203.99,LGA1700,Micro ATX,64,2
ASRock Z590 Steel Legend WiFi 6E,135.99,LGA1200,ATX,128,4
MSI MAG A520M VECTOR WIFI,136.8,AM4,Micro ATX,64,2
Asus ROG ZENITH EXTREME ALPHA,1099.99,sTR4,EATX,128,8
Asus EX-A320M-GAMING,265.7,AM4,Micro ATX,64,4
Biostar B550MH,138.6,AM4,Micro ATX,64,2
ASRock H670 Steel Legend,162.83,LGA1700,ATX,128,4
Gigabyte B550M AORUS PRO,349.99,AM4,Micro ATX,128,4
Gigabyte B560 AORUS PRO AX,219.99,LGA1200,ATX,128,4
Asus PRIME B560M-A AC,200.0,LGA1200,Micro ATX,128,4
Asus TUF GAMING X570-PRO WIFI II,412.57,AM4,ATX,128,4
Asus WS C246 PRO,335.9,LGA1151,ATX,64,4
Supermicro X10DRL-i,429.0,2 x LGA2011,ATX,512,8
Asus PRIME B760M-A AX D4,163.99,LGA1700,Micro ATX,128,4
MSI MPG Z590 GAMING CARBON WIFI,349.0,LGA1200,ATX,128,4
Gigabyte X570 AORUS XTREME,989.0,AM4,EATX,128,4
Gigabyte X570 UD,275.0,AM4,ATX,128,4
Gigabyte B660 AORUS Master DDR4,295.03,LGA1700,ATX,128,4
ASRock Z370 Extreme4,989.6,LGA1151,ATX,64,4
Gigabyte B560M AORUS PRO AX,259.99,LGA1200,Micro ATX,128,4
Asus ROG STRIX Z590-I GAMING WIFI,400.99,LGA1200,Mini ITX,64,2
MSI MEG Z390 GODLIKE,824.0,LGA1151,EATX,128,4
Gigabyte Z690 GAMING X,243.99,LGA1700,ATX,128,4
NZXT N7 Z490,229.99,LGA1200,ATX,128,4
ASRock B560M Pro4,214.6,LGA1200,Micro ATX,128,4
Biostar B450MH,145.49,AM4,Micro ATX,32,2
Gigabyte Z590 UD,139.99,LGA1200,ATX,128,4
ASRock B560M-HDV,127.2,LGA1200,Micro ATX,64,2
Asus ROG STRIX Z370-F GAMING,527.99,LGA1151,ATX,64,4
Asus ROG MAXIMUS XI FORMULA,700.0,LGA1151,ATX,128,4
MSI MAG B560 TORPEDO,227.27,LGA1200,ATX,128,4
Gigabyte Z370N WIFI,272.83,LGA1151,Mini ITX,32,2
Asus PRIME H610M-D D4,130.44,LGA1700,Micro ATX,64,2
Asus Pro B760M-CT-CSM,139.99,LGA1700,Micro ATX,128,4
Asus ROG STRIX Z590-F GAMING WIFI,368.78,LGA1200,ATX,128,4
Gigabyte B550 AORUS PRO,269.0,AM4,ATX,128,4
MSI MPG Z590M GAMING EDGE WIFI,254.99,LGA1200,Micro ATX,128,4
Asus M5A78L-M PLUS/USB3,249.97,AM3+,Micro ATX,32,4
ASRock B560 Steel Legend,144.99,LGA1200,ATX,128,4
Intel DH61BEB3,563.54,LGA1155,Micro ATX,8,2
Gigabyte X299 UD4 Pro,319.99,LGA2066,ATX,128,8
Gigabyte Z490I AORUS ULTRA,466.36,LGA1200,Mini ITX,64,2
Asus STRIX X370-F GAMING,408.67,AM4,ATX,64,4
Asus Pro Q670M-C-CSM,169.19,LGA1700,Micro ATX,128,4
MSI MPG Z590 GAMING EDGE WIFI,343.2,LGA1200,ATX,128,4
Gigabyte Z790 AORUS TACHYON,599.99,LGA1700,EATX,64,2
ASRock Z490 Phantom Gaming-ITX/TB3,159.99,LGA1200,Mini ITX,64,2
Gigabyte Z690I AORUS ULTRA,399.0,LGA1700,Mini ITX,64,2
Asus PRIME H310M-A R2.0,148.97,LGA1151,Micro ATX,32,2
Asus Pro B560M-CT/CSM,126.99,LGA1200,Micro ATX,128,4
Asus PRO A520M-C II/CSM,92.99,AM4,Micro ATX,64,2
ASRock X570 Creator,259.99,AM4,ATX,128,4
MSI MEG B550 UNIFY-X,299.99,AM4,ATX,64,2
MSI H510M PRO,159.0,LGA1200,Micro ATX,64,2
Gigabyte Z590 AORUS ELITE,275.11,LGA1200,ATX,128,4
MSI B560M PRO,143.53,LGA1200,Micro ATX,64,2
Asus PRIME H410M-K,231.76,LGA1200,Micro ATX,64,2
Supermicro MBD-X11SSL-F-O,254.99,LGA1151,Micro ATX,64,4
Gigabyte Z490 AORUS ELITE AC,329.98,LGA1200,ATX,128,4
ASRock H610M-HVS/M.2 R2.0,111.2,LGA1700,Micro ATX,64,2
ASRock Z690 Taichi Razer Edition,339.99,LGA1700,ATX,128,4
Gigabyte X570 AORUS PRO,430.99,AM4,ATX,128,4
ASRock Z590 PG Velocita,124.99,LGA1200,ATX,128,4
EVGA X299 Micro,227.81,LGA2066,Micro ATX,128,4
Asus WS X299 SAGE/10G,599.0,LGA2066,SSI CEB,128,8
Asus Pro B660M-C D4-CSM,124.37,LGA1700,Micro ATX,128,4
ASRock H670M Pro RS,138.99,LGA1700,Micro ATX,128,4
MSI H510I PRO WIFI,230.0,LGA1200,Mini ITX,64,2
Asus PRIME A320M-E,191.0,AM4,Micro ATX,64,2
Asus PRIME B650M-A II-CSM,179.99,AM5,Micro ATX,128,4
Asus ROG MAXIMUS XII FORMULA,654.0,LGA1200,ATX,128,4
Asus PRIME H570M-PLUS/CSM,139.41,LGA1200,Micro ATX,128,4
MSI MEG Z490 UNIFY,420.0,LGA1200,ATX,128,4
Asus PRIME A520M-A/CSM,119.0,AM4,Micro ATX,128,4
ASRock Z690 Phantom Gaming 4/D5,180.5,LGA1700,ATX,128,4
ASRock Z590M-ITX/ax,199.99,LGA1200,Mini ITX,64,2
ASRock H510M-HDV/M.2,195.48,LGA1200,Micro ATX,64,2
ASRock C246M WS,249.99,LGA1151,Micro ATX,64,4
ASRock Z270 Killer SLI/ac,1719.6,LGA1151,ATX,64,4
Gigabyte B660 AORUS Master,365.0,LGA1700,ATX,128,4
Asus P5G41-M LE/CSM,299.98,LGA775,Micro ATX,8,2
MSI MEG Z590 ACE,349.0,LGA1200,ATX,128,4
ASRock Z590 OC Formula,159.9,LGA1200,EATX,64,2
Asus Pro WS X570-ACE,462.99,AM4,ATX,128,4
Asus PRO H610M-CT D4-CSM,109.89,LGA1700,Micro ATX,64,2
Gigabyte B650M C,150.98,AM5,Micro ATX,128,4
Asus M5A78L-M/USB3,309.98,AM3+,Micro ATX,32,4
Asus PRIME Z590M-PLUS,235.99,LGA1200,Micro ATX,128,4
Asus Prime H310M-C R2.0/CSM,140.49,LGA1151,Micro ATX,32,2
MSI MEG Z490 ACE,399.0,LGA1200,ATX,128,4
MSI MAG B560M BAZOOKA,149.99,LGA1200,Micro ATX,128,4
Asus TUF GAMING Z490-PLUS,299.0,LGA1200,ATX,128,4
ASRock B560M Steel Legend,134.99,LGA1200,Micro ATX,128,4
MSI MEG Z590 UNIFY-X,150.99,LGA1200,ATX,128,4
EVGA X570 DARK,621.99,AM4,EATX,64,2
Gigabyte Z490 AORUS ELITE,229.99,LGA1200,ATX,128,4
ASRock X570D4U,358.99,AM4,Micro ATX,128,4
ASRock X470D4U,259.99,AM4,Micro ATX,64,4
Asus TUF GAMING H570-PRO WIFI,178.0,LGA1200,ATX,128,4
Gigabyte Z490 AORUS MASTER,579.0,LGA1200,ATX,128,4
Asus ROG Maximus XIII Extreme,684.99,LGA1200,EATX,128,4
Gigabyte GA-F2A68HM-H,95.98,FM2+,Micro ATX,64,2
Asus Pro B650M-CT-CSM,159.99,AM5,Micro ATX,128,4
Asus PRIME Z490M-PLUS,208.0,LGA1200,Micro ATX,128,4
ECS G31T-M7,169.95,LGA775,Micro ATX,4,2
Asus WS X299 SAGE,523.54,LGA2066,SSI CEB,128,8
Gigabyte GA-Z270MX-Gaming 5,2035.65,LGA1151,Micro ATX,64,4
Asus ROG MAXIMUS XI GENE,543.49,LGA1151,Micro ATX,64,2
ASRock B460M-HDV,189.0,LGA1200,Micro ATX,64,2
ASRock X299 WSI/IPMI,277.69,LGA2066,Mini ITX,64,4
MSI MEG Z490 GODLIKE,787.7,LGA1200,EATX,128,4
ASRock Z590 Phantom Gaming-ITX/TB4,210.99,LGA1200,Mini ITX,64,2
ASRock C246 WS,299.99,LGA1151,ATX,64,4
MSI MEG Z590 GODLIKE,434.99,LGA1200,EATX,128,4
EVGA X299 DARK,438.67,LGA2066,EATX,64,4
Asus ROG MAXIMUS XII EXTREME,950.0,LGA1200,EATX,128,4
ASRock X299 Steel Legend,451.08,LGA2066,ATX,256,8
Biostar H610MH,110.19,LGA1700,Micro ATX,64,2
Asus PRIME H510M-A/CSM,169.0,LGA1200,Micro ATX,64,2
Gigabyte Z590 AORUS XTREME,848.48,LGA1200,EATX,128,4
EVGA X299 MICRO ATX 2,299.99,LGA2066,Micro ATX,64,4
Asus PRIME H510M-D,227.0,LGA1200,Micro ATX,64,2
ASRock B460M Steel Legend,202.24,LGA1200,Micro ATX,128,4
Supermicro MBD-X11SSM-F-O,269.99,LGA1151,Micro ATX,64,4
ASRock H610M-ITX/eDP,153.03,LGA1700,Mini ITX,64,2
Supermicro X11SCL-LN4F,493.1,LGA1151,Micro ATX,128,4
ASRock Fatal1ty AB350 Gaming K4,207.86,AM4,ATX,64,4
ASRock H310CM-HDV/M.2,213.16,LGA1151,Micro ATX,32,2
Supermicro C9X299-PG300F,929.24,LGA2066,ATX,256,8
MSI MAG Z590 TORPEDO,161.29,LGA1200,ATX,128,4
Gigabyte Z490 UD AC,214.12,LGA1200,ATX,128,4
ASRock Z690 PG Velocita,352.0,LGA1700,ATX,128,4
MSI B560M PRO WIFI,199.0,LGA1200,Micro ATX,64,2
Gigabyte Z490 AORUS ULTRA,399.99,LGA1200,ATX,128,4
ASRock X470 Master SLI,405.09,AM4,ATX,64,4
Supermicro X10SLL-F,320.11,LGA1150,Micro ATX,32,4
Asus ROG Maximus XIII Apex,649.99,LGA1200,ATX,64,2
Supermicro MBD-X11SCV-Q-O,349.99,LGA1151,Mini ITX,64,2
Asus WS X299 PRO,517.0,LGA2066,ATX,128,8
Supermicro C7X99-OCE-O,700.0,LGA2011-3,ATX,128,8
Gigabyte Q670M D3H,179.99,LGA1700,Micro ATX,128,4
ASRock Z490 Steel Legend,244.31,LGA1200,ATX,128,4
ASRock X470D4U2-2T,447.99,AM4,Micro ATX,64,4
Biostar Z690A VALKYRIE,250.0,LGA1700,ATX,128,4
Gigabyte GA-X58A-UD7,515.0,LGA1366,ATX,24,6
ASRock Z490 Taichi,654.37,LGA1200,ATX,128,4
Biostar Z690 VALKYRIE,865.65,LGA1700,ATX,128,4
ASRock X370 Killer SLI,219.99,AM4,ATX,64,4
Supermicro X9SRA,576.31,LGA2011,ATX,64,8
Asus PRIME H410M-D,150.0,LGA1200,Micro ATX,64,2
EVGA Z590 DARK,799.0,LGA1200,EATX,64,2
Supermicro X9SRI-F-O,548.99,LGA2011,ATX,64,8
Supermicro C9Z490-PGW,510.99,LGA1200,ATX,128,4
Asus PRO Q570M-C/CSM,127.09,LGA1200,Micro ATX,128,4
Supermicro MBD-X11SAE-F-O,385.15,LGA1151,ATX,64,4
ASRock H570M Pro4,184.72,LGA1200,Micro ATX,128,4
Biostar A880G+,149.99,AM3,Micro ATX,8,2
Asus M2N68-AM PLUS,249.99,AM3/AM2+/AM2,Micro ATX,8,2
Supermicro MBD-X11SSH-LN4F,349.0,LGA1151,Micro ATX,64,4
ASRock Z490 PG Velocita,265.32,LGA1200,ATX,128,4
ASRock Z590 Taichi,456.86,LGA1200,ATX,128,4
Supermicro X10SLM-F-O,328.2,LGA1150,Micro ATX,32,4
ASRock X370 GAMING X,299.99,AM4,ATX,64,4
Supermicro X9SRH-7TF,794.99,LGA2011,ATX,64,8
Intel D525MW,152.51,Integrated Atom D525,Mini ITX,4,2
Gigabyte Z590 AORUS TACHYON,341.13,LGA1200,EATX,64,2
Asus Crosshair IV Extreme,509.95,AM3,EATX,16,4
Biostar Z590GTA,199.99,LGA1200,ATX,128,4
Gigabyte H470 AORUS PRO AX,249.99,LGA1200,ATX,128,4
Biostar B660MX-E,225.0,LGA1700,Micro ATX,64,2
Supermicro C9Z390-CG-IW,595.0,LGA1151,Mini ITX,64,2
ASRock Z270 Killer SLI,1719.6,LGA1151,ATX,64,4
Supermicro A1SRI-2758F-O,436.99,Integrated Atom C2358,Mini ITX,16,2
Gigabyte Z490 AORUS XTREME,707.86,LGA1200,EATX,128,4
Supermicro X10SL7-F,224.68,LGA1150,Micro ATX,32,4
Intel D410PT,300.0,Integrated Atom D410,Mini ITX,4,2
EVGA Z490 DARK K|NGP|N,485.99,LGA1200,EATX,64,2
Biostar A780L3B,209.98,AM3,Micro ATX,16,2
Biostar A880GU3,249.99,AM3,Micro ATX,8,2
